Date+Time,Tair-wet,RH-wet
2024-04-17T20:44:41.010000+02:00,20.483475,37.307012
2024-04-17T20:44:41.520000+02:00,20.475464,37.291752
2024-04-17T20:44:42.030000+02:00,20.467453,37.305104
2024-04-17T20:44:42.540000+02:00,20.472794,37.3299
2024-04-17T20:44:43.040000+02:00,20.456772,37.305104
2024-04-17T20:44:43.550000+02:00,20.454102,37.305104
2024-04-17T20:44:44.060000+02:00,20.467453,37.29366
2024-04-17T20:44:44.570000+02:00,20.470123,37.297475
2024-04-17T20:44:45.070000+02:00,20.456772,37.289845
2024-04-17T20:44:45.580000+02:00,20.459442,37.318456
2024-04-17T20:44:46.090000+02:00,20.464783,37.301289
2024-04-17T20:44:46.600000+02:00,20.459442,37.297475
2024-04-17T20:44:47.110000+02:00,20.470123,37.291752
2024-04-17T20:44:47.620000+02:00,20.467453,37.265049
2024-04-17T20:44:48.130000+02:00,20.464783,37.301289
2024-04-17T20:44:48.640000+02:00,20.470123,37.265049
2024-04-17T20:44:49.150000+02:00,20.470123,37.224994
2024-04-17T20:44:49.660000+02:00,20.464783,37.219272
2024-04-17T20:44:50.170000+02:00,20.464783,37.219272
2024-04-17T20:44:50.670000+02:00,20.456772,37.223087
2024-04-17T20:44:51.180000+02:00,20.451431,37.198291
2024-04-17T20:44:51.690000+02:00,20.43808,37.244068
2024-04-17T20:44:52.200000+02:00,20.414047,37.200198
2024-04-17T20:44:52.700000+02:00,20.430069,37.211643
2024-04-17T20:44:53.210000+02:00,20.43541,37.205921
2024-04-17T20:44:53.720000+02:00,20.422058,37.186847
2024-04-17T20:44:54.230000+02:00,20.414047,37.183032
2024-04-17T20:44:54.740000+02:00,20.422058,37.135348
2024-04-17T20:44:55.240000+02:00,20.414047,37.171588
2024-04-17T20:44:55.750000+02:00,20.400696,37.173495
2024-04-17T20:44:56.260000+02:00,20.411377,37.171588
2024-04-17T20:44:56.770000+02:00,20.411377,37.179217
2024-04-17T20:44:57.270000+02:00,20.400696,37.204013
2024-04-17T20:44:57.780000+02:00,20.387344,37.184939
2024-04-17T20:44:58.290000+02:00,20.411377,37.209735
2024-04-17T20:44:58.800000+02:00,20.379333,37.245975
2024-04-17T20:44:59.310000+02:00,20.390015,37.232624
2024-04-17T20:44:59.810000+02:00,20.384674,37.280308
2024-04-17T20:45:00.320000+02:00,20.395355,37.255512
