Date+Time,Tair-wet,RH-wet
2024-04-17T12:08:42.980000+02:00,22.657089,36.750057
2024-04-17T12:08:43.480000+02:00,22.65976,36.679484
2024-04-17T12:08:44+02:00,22.675781,36.664225
2024-04-17T12:08:44.500000+02:00,22.686462,36.614633
2024-04-17T12:08:45.010000+02:00,22.707825,36.601282
2024-04-17T12:08:45.520000+02:00,22.689133,36.582208
2024-04-17T12:08:46.020000+02:00,22.723846,36.561227
2024-04-17T12:08:46.530000+02:00,22.713165,36.463951
2024-04-17T12:08:47.040000+02:00,22.723846,36.454414
2024-04-17T12:08:47.550000+02:00,22.734528,36.454414
2024-04-17T12:08:48.060000+02:00,22.739868,36.439155
2024-04-17T12:08:48.560000+02:00,22.742538,36.414359
2024-04-17T12:08:49.070000+02:00,22.715836,36.42771
2024-04-17T12:08:49.580000+02:00,22.707825,36.439155
2024-04-17T12:08:50.080000+02:00,22.715836,36.439155
2024-04-17T12:08:50.590000+02:00,22.699814,36.454414
2024-04-17T12:08:51.100000+02:00,22.678452,36.376211
2024-04-17T12:08:51.600000+02:00,22.670441,36.408637
2024-04-17T12:08:52.110000+02:00,22.641068,36.452506
2024-04-17T12:08:52.620000+02:00,22.606354,36.410544
2024-04-17T12:08:53.130000+02:00,22.598343,36.477302
2024-04-17T12:08:53.630000+02:00,22.56897,36.490654
2024-04-17T12:08:54.140000+02:00,22.57431,36.452506
2024-04-17T12:08:54.640000+02:00,22.590332,36.538338
2024-04-17T12:08:55.150000+02:00,22.622375,36.545968
2024-04-17T12:08:55.660000+02:00,22.603683,36.521172
2024-04-17T12:08:56.170000+02:00,22.606354,36.553597
2024-04-17T12:08:56.680000+02:00,22.622375,36.523079
2024-04-17T12:08:57.180000+02:00,22.627716,36.519265
2024-04-17T12:08:57.680000+02:00,22.633057,36.523079
2024-04-17T12:08:58.190000+02:00,22.643738,36.51545
2024-04-17T12:08:58.700000+02:00,22.651749,36.553597
2024-04-17T12:08:59.200000+02:00,22.651749,36.526894
2024-04-17T12:08:59.710000+02:00,22.611694,36.521172
2024-04-17T12:09:00.220000+02:00,22.625046,36.500191
2024-04-17T12:09:00.730000+02:00,22.603683,36.521172
2024-04-17T12:09:01.240000+02:00,22.598343,36.534524
2024-04-17T12:09:01.750000+02:00,22.579651,36.47158
2024-04-17T12:09:02.260000+02:00,22.609024,36.557412
2024-04-17T12:09:02.770000+02:00,22.606354,36.540246
2024-04-17T12:09:03.280000+02:00,22.614365,36.565042
2024-04-17T12:09:03.790000+02:00,22.595673,36.557412
2024-04-17T12:09:04.290000+02:00,22.622375,36.559319
2024-04-17T12:09:04.800000+02:00,22.606354,36.54406
2024-04-17T12:09:05.300000+02:00,22.601013,36.582208
2024-04-17T12:09:05.810000+02:00,22.593002,36.519265
2024-04-17T12:09:06.320000+02:00,22.590332,36.557412
2024-04-17T12:09:06.830000+02:00,22.584991,36.570764
2024-04-17T12:09:07.330000+02:00,22.622375,36.591745
2024-04-17T12:09:07.840000+02:00,22.638397,36.530709
2024-04-17T12:09:08.350000+02:00,22.638397,36.519265
2024-04-17T12:09:08.860000+02:00,22.657089,36.500191
2024-04-17T12:09:09.370000+02:00,22.66777,36.505913
2024-04-17T12:09:09.880000+02:00,22.691803,36.456321
2024-04-17T12:09:10.380000+02:00,22.705154,36.496376
2024-04-17T12:09:10.890000+02:00,22.721176,36.441062
2024-04-17T12:09:11.410000+02:00,22.694473,36.442969
2024-04-17T12:09:11.910000+02:00,22.675781,36.454414
2024-04-17T12:09:12.420000+02:00,22.678452,36.441062
2024-04-17T12:09:12.930000+02:00,22.627716,36.463951
2024-04-17T12:09:13.440000+02:00,22.646408,36.450599
2024-04-17T12:09:13.950000+02:00,22.649078,36.446784
2024-04-17T12:09:14.450000+02:00,22.611694,36.47921
2024-04-17T12:09:14.960000+02:00,22.584991,36.528801
2024-04-17T12:09:15.470000+02:00,22.606354,36.536431
2024-04-17T12:09:15.970000+02:00,22.576981,36.591745
2024-04-17T12:09:16.480000+02:00,22.57431,36.578393
2024-04-17T12:09:16.990000+02:00,22.601013,36.622263
2024-04-17T12:09:17.490000+02:00,22.56897,36.648966
2024-04-17T12:09:18+02:00,22.547607,36.641337
2024-04-17T12:09:18.510000+02:00,22.563629,36.675669
2024-04-17T12:09:19.020000+02:00,22.560959,36.71191
2024-04-17T12:09:19.530000+02:00,22.576981,36.708095
2024-04-17T12:09:20.030000+02:00,22.57431,36.710002
2024-04-17T12:09:20.540000+02:00,22.593002,36.664225
2024-04-17T12:09:21.050000+02:00,22.576981,36.639429
2024-04-17T12:09:21.560000+02:00,22.582321,36.650874
2024-04-17T12:09:22.070000+02:00,22.584991,36.650874
2024-04-17T12:09:22.570000+02:00,22.603683,36.647059
2024-04-17T12:09:23.080000+02:00,22.584991,36.629892
2024-04-17T12:09:23.580000+02:00,22.593002,36.620356
2024-04-17T12:09:24.090000+02:00,22.56897,36.639429
2024-04-17T12:09:24.600000+02:00,22.563629,36.671855
2024-04-17T12:09:25.110000+02:00,22.57431,36.635615
2024-04-17T12:09:25.610000+02:00,22.558289,36.618448
2024-04-17T12:09:26.120000+02:00,22.550278,36.647059
2024-04-17T12:09:26.630000+02:00,22.536926,36.673762
2024-04-17T12:09:27.140000+02:00,22.542267,36.70428
2024-04-17T12:09:27.650000+02:00,22.542267,36.700465
2024-04-17T12:09:28.150000+02:00,22.552948,36.708095
2024-04-17T12:09:28.660000+02:00,22.563629,36.74052
2024-04-17T12:09:29.170000+02:00,22.576981,36.694743
2024-04-17T12:09:29.680000+02:00,22.555618,36.669947
2024-04-17T12:09:30.190000+02:00,22.563629,36.744335
2024-04-17T12:09:30.700000+02:00,22.566299,36.730983
2024-04-17T12:09:31.210000+02:00,22.57164,36.713817
2024-04-17T12:09:31.710000+02:00,22.550278,36.690929
2024-04-17T12:09:32.220000+02:00,22.542267,36.694743
2024-04-17T12:09:32.730000+02:00,22.550278,36.744335
2024-04-17T12:09:33.230000+02:00,22.526245,36.74052
2024-04-17T12:09:33.740000+02:00,22.560959,36.744335
2024-04-17T12:09:34.250000+02:00,22.520905,36.753872
2024-04-17T12:09:34.750000+02:00,22.526245,36.767224
2024-04-17T12:09:35.260000+02:00,22.510223,36.761501
2024-04-17T12:09:35.770000+02:00,22.531586,36.723354
2024-04-17T12:09:36.280000+02:00,22.523575,36.759594
2024-04-17T12:09:36.780000+02:00,22.536926,36.751965
2024-04-17T12:09:37.290000+02:00,22.515564,36.717632
2024-04-17T12:09:37.800000+02:00,22.531586,36.727169
2024-04-17T12:09:38.310000+02:00,22.547607,36.700465
2024-04-17T12:09:38.810000+02:00,22.57431,36.727169
2024-04-17T12:09:39.320000+02:00,22.550278,36.771038
2024-04-17T12:09:39.830000+02:00,22.566299,36.759594
2024-04-17T12:09:40.330000+02:00,22.584991,36.725261
2024-04-17T12:09:40.840000+02:00,22.593002,36.778668
2024-04-17T12:09:41.340000+02:00,22.614365,36.74052
2024-04-17T12:09:41.850000+02:00,22.625046,36.66804
2024-04-17T12:09:42.360000+02:00,22.57431,36.658503
2024-04-17T12:09:42.860000+02:00,22.614365,36.662318
2024-04-17T12:09:43.370000+02:00,22.622375,36.635615
2024-04-17T12:09:43.880000+02:00,22.609024,36.643244
2024-04-17T12:09:44.390000+02:00,22.638397,36.608911
2024-04-17T12:09:44.900000+02:00,22.649078,36.607004
2024-04-17T12:09:45.410000+02:00,22.649078,36.607004
2024-04-17T12:09:45.920000+02:00,22.649078,36.582208
2024-04-17T12:09:46.430000+02:00,22.678452,36.561227
2024-04-17T12:09:46.940000+02:00,22.6651,36.509728
2024-04-17T12:09:47.440000+02:00,22.675781,36.54406
2024-04-17T12:09:47.950000+02:00,22.691803,36.561227
2024-04-17T12:09:48.450000+02:00,22.723846,36.55169
2024-04-17T12:09:48.960000+02:00,22.713165,36.526894
2024-04-17T12:09:49.470000+02:00,22.715836,36.523079
2024-04-17T12:09:49.980000+02:00,22.737198,36.511635
2024-04-17T12:09:50.490000+02:00,22.734528,36.50782
2024-04-17T12:09:51+02:00,22.742538,36.462043
2024-04-17T12:09:51.510000+02:00,22.737198,36.421988
2024-04-17T12:09:52.010000+02:00,22.726517,36.444877
2024-04-17T12:09:52.520000+02:00,22.729187,36.433433
2024-04-17T12:09:53.030000+02:00,22.737198,36.404822
2024-04-17T12:09:53.530000+02:00,22.729187,36.450599
2024-04-17T12:09:54.040000+02:00,22.747879,36.401007
2024-04-17T12:09:54.550000+02:00,22.750549,36.397192
2024-04-17T12:09:55.060000+02:00,22.739868,36.36286
2024-04-17T12:09:55.570000+02:00,22.729187,36.334249
2024-04-17T12:09:56.080000+02:00,22.718506,36.389563
2024-04-17T12:09:56.590000+02:00,22.715836,36.383841
2024-04-17T12:09:57.100000+02:00,22.702484,36.372396
2024-04-17T12:09:57.610000+02:00,22.697144,36.359045
2024-04-17T12:09:58.110000+02:00,22.675781,36.357137
2024-04-17T12:09:58.620000+02:00,22.691803,36.418173
2024-04-17T12:09:59.120000+02:00,22.702484,36.439155
2024-04-17T12:09:59.630000+02:00,22.678452,36.448692
2024-04-17T12:10:00.130000+02:00,22.705154,36.452506
2024-04-17T12:10:00.640000+02:00,22.691803,36.47921
2024-04-17T12:10:01.150000+02:00,22.699814,36.462043
2024-04-17T12:10:01.660000+02:00,22.678452,36.460136
2024-04-17T12:10:02.170000+02:00,22.694473,36.446784
2024-04-17T12:10:02.680000+02:00,22.686462,36.433433
2024-04-17T12:10:03.190000+02:00,22.678452,36.460136
2024-04-17T12:10:03.700000+02:00,22.702484,36.492561
2024-04-17T12:10:04.200000+02:00,22.66777,36.509728
2024-04-17T12:10:04.710000+02:00,22.65976,36.517357
2024-04-17T12:10:05.220000+02:00,22.675781,36.55169
2024-04-17T12:10:05.730000+02:00,22.654419,36.488746
2024-04-17T12:10:06.230000+02:00,22.654419,36.483024
2024-04-17T12:10:06.740000+02:00,22.66777,36.496376
2024-04-17T12:10:07.250000+02:00,22.6651,36.545968
2024-04-17T12:10:07.750000+02:00,22.65976,36.496376
2024-04-17T12:10:08.260000+02:00,22.638397,36.519265
2024-04-17T12:10:08.770000+02:00,22.638397,36.526894
2024-04-17T12:10:09.270000+02:00,22.638397,36.51545
2024-04-17T12:10:09.780000+02:00,22.614365,36.521172
2024-04-17T12:10:10.290000+02:00,22.651749,36.54406
2024-04-17T12:10:10.800000+02:00,22.638397,36.563134
2024-04-17T12:10:11.310000+02:00,22.66777,36.545968
2024-04-17T12:10:11.810000+02:00,22.66777,36.563134
2024-04-17T12:10:12.320000+02:00,22.678452,36.597467
2024-04-17T12:10:12.820000+02:00,22.675781,36.523079
2024-04-17T12:10:13.330000+02:00,22.66243,36.549783
2024-04-17T12:10:13.840000+02:00,22.65976,36.504005
2024-04-17T12:10:14.350000+02:00,22.689133,36.530709
2024-04-17T12:10:14.860000+02:00,22.691803,36.521172
2024-04-17T12:10:15.370000+02:00,22.713165,36.51545
2024-04-17T12:10:15.880000+02:00,22.697144,36.483024
2024-04-17T12:10:16.380000+02:00,22.697144,36.504005
2024-04-17T12:10:16.890000+02:00,22.699814,36.47921
2024-04-17T12:10:17.400000+02:00,22.697144,36.462043
2024-04-17T12:10:17.910000+02:00,22.697144,36.465858
2024-04-17T12:10:18.420000+02:00,22.697144,36.469673
2024-04-17T12:10:18.920000+02:00,22.675781,36.473487
2024-04-17T12:10:19.420000+02:00,22.670441,36.496376
2024-04-17T12:10:19.930000+02:00,22.651749,36.504005
2024-04-17T12:10:20.440000+02:00,22.678452,36.528801
2024-04-17T12:10:20.950000+02:00,22.691803,36.50782
2024-04-17T12:10:21.450000+02:00,22.689133,36.494469
2024-04-17T12:10:21.960000+02:00,22.66243,36.475395
2024-04-17T12:10:22.470000+02:00,22.66777,36.523079
2024-04-17T12:10:22.980000+02:00,22.6651,36.545968
2024-04-17T12:10:23.490000+02:00,22.66777,36.526894
2024-04-17T12:10:24+02:00,22.675781,36.566949
2024-04-17T12:10:24.510000+02:00,22.651749,36.578393
2024-04-17T12:10:25.010000+02:00,22.649078,36.591745
