Date,Time,Humidity,Temperature
2024-04-17,12:36:00 PM,35.4,22.1
2024-04-17,12:36:05 PM,35.4,22.1
2024-04-17,12:36:10 PM,35.5,22.1
2024-04-17,12:36:15 PM,35.5,22.05
2024-04-17,12:36:20 PM,35.6,22.05
2024-04-17,12:36:25 PM,35.6,22.05
2024-04-17,12:36:30 PM,35.6,22.05
2024-04-17,12:36:35 PM,35.6,22.05
2024-04-17,12:36:40 PM,35.6,22.05
2024-04-17,12:36:45 PM,35.6,22.1
2024-04-17,12:36:50 PM,35.6,22.05
2024-04-17,12:36:55 PM,35.6,22.1
2024-04-17,12:37:00 PM,35.6,22.05
2024-04-17,12:37:05 PM,35.6,22.1
2024-04-17,12:37:10 PM,35.6,22.1
2024-04-17,12:37:15 PM,35.6,22.1
2024-04-17,12:37:20 PM,35.6,22.1
2024-04-17,12:37:25 PM,35.6,22.1
2024-04-17,12:37:30 PM,35.5,22.1
2024-04-17,12:37:35 PM,35.5,22.1
2024-04-17,12:37:40 PM,35.5,22.1
2024-04-17,12:37:45 PM,35.5,22.1
2024-04-17,12:37:50 PM,35.4,22.1
2024-04-17,12:37:55 PM,35.4,22.15
2024-04-17,12:38:00 PM,35.4,22.15
2024-04-17,12:38:05 PM,35.4,22.15
2024-04-17,12:38:10 PM,35.4,22.15
2024-04-17,12:38:15 PM,35.3,22.15
2024-04-17,12:38:20 PM,35.3,22.15
2024-04-17,12:38:25 PM,35.3,22.2
2024-04-17,12:38:30 PM,35.3,22.2
2024-04-17,12:38:35 PM,35.2,22.2
2024-04-17,12:38:40 PM,35.2,22.2
2024-04-17,12:38:45 PM,35.2,22.2
2024-04-17,12:38:50 PM,35.2,22.2
2024-04-17,12:38:55 PM,35.1,22.2
2024-04-17,12:39:00 PM,35.1,22.2
2024-04-17,12:39:05 PM,35.1,22.25
2024-04-17,12:39:10 PM,35.1,22.25
2024-04-17,12:39:15 PM,35.1,22.25
2024-04-17,12:39:20 PM,35.1,22.25
2024-04-17,12:39:25 PM,35,22.25
2024-04-17,12:39:30 PM,35,22.3
2024-04-17,12:39:35 PM,35,22.3
2024-04-17,12:39:40 PM,35,22.3
2024-04-17,12:39:45 PM,34.9,22.3
2024-04-17,12:39:50 PM,34.9,22.3
2024-04-17,12:39:55 PM,34.9,22.35
2024-04-17,12:40:00 PM,34.9,22.35
2024-04-17,12:40:05 PM,34.9,22.35
2024-04-17,12:40:10 PM,34.9,22.3
2024-04-17,12:40:15 PM,34.9,22.35
2024-04-17,12:40:20 PM,34.9,22.35
2024-04-17,12:40:25 PM,34.9,22.35
2024-04-17,12:40:30 PM,35,22.35
2024-04-17,12:40:35 PM,35.1,22.35
2024-04-17,12:40:40 PM,35.1,22.35
2024-04-17,12:40:45 PM,35.1,22.35
2024-04-17,12:40:50 PM,35,22.35
2024-04-17,12:40:55 PM,35,22.35
2024-04-17,12:41:00 PM,34.9,22.35
2024-04-17,12:41:05 PM,34.9,22.35
2024-04-17,12:41:10 PM,34.9,22.35
2024-04-17,12:41:15 PM,34.9,22.35
2024-04-17,12:41:20 PM,34.9,22.35
2024-04-17,12:41:25 PM,34.8,22.35
2024-04-17,12:41:30 PM,34.8,22.4
2024-04-17,12:41:35 PM,34.8,22.35
2024-04-17,12:41:40 PM,34.8,22.4
2024-04-17,12:41:45 PM,34.8,22.4
2024-04-17,12:41:50 PM,34.8,22.35
2024-04-17,12:41:55 PM,34.8,22.35
2024-04-17,12:42:00 PM,34.8,22.35
2024-04-17,12:42:05 PM,34.8,22.35
2024-04-17,12:42:10 PM,34.8,22.35
2024-04-17,12:42:15 PM,34.8,22.35
2024-04-17,12:42:20 PM,34.8,22.35
2024-04-17,12:42:25 PM,34.9,22.35
2024-04-17,12:42:30 PM,34.9,22.35
2024-04-17,12:42:35 PM,34.9,22.35
2024-04-17,12:42:40 PM,34.8,22.35
2024-04-17,12:42:45 PM,34.8,22.35
2024-04-17,12:42:50 PM,34.8,22.4
2024-04-17,12:42:55 PM,34.8,22.4
2024-04-17,12:43:00 PM,34.8,22.4
2024-04-17,12:43:05 PM,34.8,22.4
2024-04-17,12:43:10 PM,34.7,22.4
2024-04-17,12:43:15 PM,34.7,22.4
2024-04-17,12:43:20 PM,34.7,22.45
2024-04-17,12:43:25 PM,34.7,22.45
2024-04-17,12:43:30 PM,34.7,22.45
2024-04-17,12:43:35 PM,34.7,22.45
