Date,RH,T_air,T_reflect,T_dry,T_low ,T_medium,T_high,T_wet,T_leaf
12:39:09 PM,35.86325618,23.10646513,23.55053,24.81003,22.39257,21.86808,21.3694,18.88675,21.102862
12:39:10 PM,35.87133502,23.10492195,23.53758,24.82927,22.40733,21.88263,21.38429,18.9059,21.118468
12:39:10 PM,35.87937599,23.10341041,23.55171,24.80484,22.38851,21.8637,21.36576,18.88839,21.103068
12:39:10 PM,35.88736835,23.10193427,23.53377,24.8077,22.39023,21.86021,21.3632,18.89204,21.09641
12:39:10 PM,35.89530132,23.10049731,23.56503,24.81477,22.40143,21.87272,21.37939,18.90846,21.107898
12:39:10 PM,35.90316414,23.09910331,23.61441,24.86444,22.44711,21.91608,21.42473,18.95988,21.16104
12:39:10 PM,35.91094604,23.09775603,23.57118,24.83189,22.41325,21.8792,21.38993,18.91466,21.127942
12:39:10 PM,35.91863626,23.09645925,23.59993,24.83271,22.42198,21.88533,21.39517,18.9074,21.130952
12:39:10 PM,35.92622404,23.09521674,23.59678,24.83547,22.41979,21.8882,21.39734,18.91479,21.126922
12:39:10 PM,35.9336986,23.09403228,23.58023,24.86496,22.44473,21.91972,21.42995,18.95087,21.152698
12:39:10 PM,35.94104956,23.09290948,23.56326,24.83544,22.40958,21.88723,21.39448,18.90854,21.134352
12:39:11 PM,35.94827217,23.09184939,23.56003,24.85354,22.41981,21.90471,21.40961,18.93216,21.14852
12:39:11 PM,35.95536603,23.09085115,23.58141,24.8448,22.41772,21.90143,21.40954,18.92135,21.142312
12:39:11 PM,35.96233085,23.08991383,23.60073,24.8264,22.40327,21.88111,21.38984,18.90948,21.132402
12:39:11 PM,35.96916633,23.0890365,23.57055,24.83257,22.41274,21.88983,21.39573,18.91064,21.13574
12:39:11 PM,35.97587219,23.08821824,23.55909,24.83251,22.40764,21.88826,21.38981,18.90607,21.132684
12:39:11 PM,35.98244812,23.08745811,23.52579,24.78819,22.36241,21.84927,21.34788,18.85793,21.084018
12:39:11 PM,35.98889384,23.08675519,23.5508,24.78465,22.35588,21.83444,21.3407,18.85031,21.08147
12:39:11 PM,35.99520906,23.08610856,23.59028,24.85496,22.41072,21.89119,21.39349,18.92736,21.137318
12:39:11 PM,36.00139349,23.08551728,23.52924,24.81945,22.37598,21.85941,21.3632,18.89404,21.104914
12:39:11 PM,36.00744682,23.08498042,23.55967,24.83072,22.38211,21.87586,21.37518,18.89698,21.11591
12:39:12 PM,36.01336878,23.08449707,23.56046,24.82901,22.38827,21.87706,21.38177,18.90188,21.122558
12:39:12 PM,36.01915906,23.08406629,23.511,24.78564,22.35436,21.83814,21.33897,18.86082,21.077992
12:39:12 PM,36.02481738,23.08368715,23.4975,24.76478,22.33761,21.8144,21.32212,18.84254,21.056514
12:39:12 PM,36.03034344,23.08335873,23.54414,24.83183,22.39698,21.86999,21.38253,18.91031,21.124198
12:39:12 PM,36.03573695,23.0830801,23.55083,24.84557,22.40673,21.88284,21.39619,18.92478,21.133402
12:39:12 PM,36.04099763,23.08285034,23.54769,24.82886,22.39513,21.87215,21.37797,18.89768,21.115852
12:39:12 PM,36.04612517,23.08266851,23.53259,24.78819,22.36068,21.84089,21.34213,18.8598,21.078528
12:39:12 PM,36.05111929,23.08253369,23.49144,24.74091,22.31909,21.80145,21.30574,18.81922,21.036988
12:39:12 PM,36.05597969,23.08244496,23.51506,24.73283,22.30321,21.78789,21.29902,18.81318,21.022146
12:39:12 PM,36.06070608,23.08240137,23.49407,24.72508,22.2997,21.77412,21.29394,18.80296,21.022952
12:39:13 PM,36.06529817,23.08240202,23.47667,24.71936,22.30221,21.78189,21.29123,18.79854,21.021858
12:39:13 PM,36.06975567,23.08244596,23.50275,24.73048,22.31221,21.79513,21.30134,18.81721,21.030788
12:39:13 PM,36.07407828,23.08253227,23.48598,24.74953,22.33278,21.81174,21.32024,18.83406,21.04588
12:39:13 PM,36.07826572,23.08266003,23.48672,24.73742,22.30931,21.79605,21.30046,18.81335,21.03315
12:39:13 PM,36.08231769,23.08282831,23.48818,24.72277,22.30267,21.7893,21.28991,18.80396,21.02391
12:39:13 PM,36.08623389,23.08303618,23.47371,24.75738,22.32601,21.8037,21.31653,18.83357,21.043958
12:39:13 PM,36.09001405,23.08328271,23.4915,24.75783,22.33171,21.80326,21.31754,18.8384,21.046512
12:39:13 PM,36.09365786,23.08356697,23.56369,24.83242,22.4008,21.86969,21.38531,18.92202,21.115956
12:39:13 PM,36.09716503,23.08388804,23.53734,24.7999,22.37286,21.84402,21.36118,18.89637,21.086728
12:39:13 PM,36.10053527,23.084245,23.6,24.85085,22.41828,21.89868,21.41795,18.95184,21.148392
